battery_status=ATRV
pid_supported_0120=01 00
pid_supported_2140=01 20
pid_supported_4160=01 40
pid_supported_6180=01 60
pid_supported_81A0=01 80
pid_supported_A1C0=01 A0
pid_supported_C1E0=01 C0
monitor_status_since_dtc_cleared=01 01
freeze_dtc=01 02
fuel_system_status=01 03
calculated_engine_load=01 04
engine_coolant_temperature=01 05
short_term_fuel_bank1=01 06
long_termin_fuel_bank1=01 07
short_term_fuel_bank2=01 08
long_termin_fuel_bank2=01 09
fuel_pressure=01 0A
Intake_manifold_absolute_pressure=01 0B
engine_speed=01 0C
engine_rpm=01 0C
vehicle_speed=01 0D
timing_advanced=01 0E
air_intake_temperature=01 0F
maf_air_flow_rate=01 10
throttle_position=01 11
commanded_secondary_air_status=01 12
oxygen_sensor_present=01 13
bank1_sensor1_oxygen_sensor_voltage=01 14
bank1_sensor2_oxygen_sensor_voltage=01 15
bank1_sensor3_oxygen_sensor_voltage=01 16
bank1_sensor4_oxygen_sensor_voltage=01 17
bank2_sensor1_oxygen_sensor_voltage=01 18
bank2_sensor2_oxygen_sensor_voltage=01 19
bank2_sensor3_oxygen_sensor_voltage=01 1A
bank2_sensor4_oxygen_sensor_voltage=01 1B
obd_standard_this_vehicle_conforms_to=01 1C
auxiliary_input_status=01 1E
runtime_since_last_start=01 1F
distance_traveled_with_malfunction_indicator_lamp_on=01 21
fuel_rail_pressure_manifold_vacuum=01 22
fuel_rail_pressure_direct_inject=01 23
o2s1_wr_lambda_equivalent_ratio_voltage=01 24
o2s2_wr_lambda_equivalent_ratio_voltage=01 25
o2s3_wr_lambda_equivalent_ratio_voltage=01 26
o2s4_wr_lambda_equivalent_ratio_voltage=01 27
o2s5_wr_lambda_equivalent_ratio_voltage=01 28
o2s6_wr_lambda_equivalent_ratio_voltage=01 29
o2s7_wr_lambda_equivalent_ratio_voltage=01 2A
o2s8_wr_lambda_equivalent_ratio_voltage=01 2B
commanded_egr=01 2C
egr_error=01 2D
commanded_evaporative_purge=01 2E
fuel_level=01 2F
num_of_warmups_since_codes_cleared=01 30
distance_traveled_since_codes_cleared=01 31
evap_system_vapor_pressure=01 32
barometric_pressure=01 33
o2s1_wr_lambda_equivalent_ratio_current=01 34
o2s2_wr_lambda_equivalent_ratio_current=01 35
o2s3_wr_lambda_equivalent_ratio_current=01 36
o2s4_wr_lambda_equivalent_ratio_current=01 37
o2s5_wr_lambda_equivalent_ratio_current=01 38
o2s6_wr_lambda_equivalent_ratio_current=01 39
o2s7_wr_lambda_equivalent_ratio_current=01 3A
o2s8_wr_lambda_equivalent_ratio_current=01 3B
catalyst_temperature_bank1_sensor1=01 3C
catalyst_temperature_bank1_sensor2=01 3D
catalyst_temperature_bank2_sensor1=01 3E
catalyst_temperature_bank2_sensor2=01 3F
monitor_status_this_drive_cycle=01 41
control_module_voltage=01 42
absolute_load=01 43
fuel_air_commanded_equivalence_ratio=01 44
relative_throttle_position=01 45
ambient_air_temperature=01 46
absolute_throttle_position_b=01 47
absolute_throttle_position_c=01 48
absolute_throttle_position_d=01 49
accelerator_pedal_position=01 49
absolute_throttle_position_e=01 4A
absolute_throttle_position_f=01 4B
commanded_throttle_actuator=01 4C
time_run_with_mil_on=01 4D
time_since_trouble_codes_cleared=01 4E
maximum_value__equivalence_ratio_oxygen_sensor_voltage_oxygen_sensor current_ and_intake_manifold_absolute_pressure=01 4F
maximum_value_for_air_flow_rate_from_mass_air_flow_sensor=01 50
fuel_type=01 51
ethanol_fuel_percent=01 52
absolute_evap_system_vapor_pressure=01 53
evap_system_vapor_pressure=01 54
short_term_secondary_oxygen_sensor_trim_bank1_and_bank3=01 55
long_term_secondary_oxygen_sensor_trim_bank1_and_bank3=01 56
short_term_secondary_oxygen_sensor_trim_bank2_and_bank4=01 57
long_term_secondary_oxygen_sensor_trim_bank2_and_bank4=01 58
Fuel_rail_pressure_absolute=01 59
relative_accelerator_pedal_position=01 5A
hybrid_battery_pack_remaining_life=01 5B
engine_oil_temperature=01 5C
fuel_injection_timing=01 5D
fuel_consumption_rate=01 5E
engine_fuel_rate=01 5E
emission_requirements_to_which_vehicle_is_designed=01 5F
drivers_demand_engine_percent_torque=01 61
actual_engine_percentage_torque=01 62
engine_reference_torque=01 63
engine_percent_torque_data=01 64
auxiliary_input_output_supported=01 65
mass_air_flow_sensor=01 66
engine_coolant_temperature=01 67
intake_air_temperature_sensor=01 68
commanded_egr_and_egr_error=01 69
commanded_diesel_intake_air_flow_control_and_relative_intake_air_flow_position=01 6A
exhaust_gas_recirculation_temperature=01 6B
commanded_throttle_actuator_control_and_relative_throttle_position=01 6C
Fuel_pressure_control_system=01 6D
injection_pressure_control_system=01 6E
turbocharger_compressor_inlet_pressure=01 6F
boost_pressure_control=01 70
variable_geometry_turbo_control=01 71
wastegate_control=01 72
exhaust_pressure=01 73
turbocharger_rpm=01 74
turbocharger_temperature=01 75
turbocharger_temperature=01 76
charge_air_cooler_temperature=01 77
exhaust_gas_temperature_bank1=01 78
exhaust_gas_temperature_bank2=01 79
diesel_particulate_filter=01 7A
diesel_particulate_filter_temperature=01 7C
nox_nte_control_area_status=01 7D
pm_nte_control_area_status=01 7E
engine_run_time=01 7F
engine_run_time_for_auxiliary_emissions_control_device=01 81
nox_sensor=01 83
manifold_surface_temperature=01 84
nox_reagent_system=01 85
particulate_matter_sensor=01 86
intake_manifold_absolute_pressure=01 87
